340 57630
1 110 119
1 119 268
1 268 3
1 3 51
1 51 233
1 233 238
1 238 63
1 63 175
1 175 37
1 37 112
1 112 260
1 260 284
1 284 53
1 53 236
1 236 32
1 32 116
1 116 222
1 222 328
1 328 182
1 182 77
1 77 256
1 256 194
1 194 315
1 315 40
1 40 244
1 244 204
1 204 115
1 115 126
1 126 255
1 255 85
1 85 302
1 302 265
1 265 327
1 327 313
1 313 97
1 97 181
1 181 38
1 38 58
1 58 10
1 10 226
1 226 148
1 148 131
1 131 139
1 139 149
1 149 105
1 105 151
1 151 47
1 47 59
1 59 293
1 293 69
1 69 273
1 273 271
1 271 103
1 103 79
1 79 166
1 166 15
1 15 101
1 101 7
1 7 16
1 16 325
1 325 214
1 214 195
1 195 332
1 332 188
1 188 147
1 147 203
1 203 71
1 71 218
1 218 81
1 81 118
1 118 91
1 91 326
1 326 333
1 333 163
1 163 269
1 269 25
1 25 242
1 242 19
1 19 120
1 120 324
1 324 279
1 279 122
1 122 155
1 155 340
1 340 138
1 138 220
1 220 183
1 183 219
1 219 108
1 108 312
1 312 289
1 289 177
1 177 235
1 235 157
1 157 262
1 262 94
1 94 170
1 170 209
1 209 14
1 14 45
1 45 334
1 334 169
1 169 13
1 13 311
1 311 26
1 26 282
1 282 264
1 264 286
1 286 258
1 258 200
1 200 272
1 272 329
1 329 156
1 156 240
1 240 207
1 207 212
1 212 141
1 141 318
1 318 46
1 46 5
1 5 285
1 285 201
1 201 142
1 142 310
1 310 296
1 296 146
1 146 229
1 229 36
1 36 253
1 253 44
1 44 215
1 215 134
1 134 335
1 335 278
1 278 276
1 276 171
1 171 217
1 217 88
1 88 9
1 9 178
1 178 84
1 84 309
1 309 254
1 254 322
1 322 283
1 283 43
1 43 336
1 336 135
1 135 17
1 17 153
1 153 173
1 173 76
1 76 210
1 210 251
1 251 133
1 133 89
1 89 168
1 168 316
1 316 291
1 291 199
1 199 252
1 252 154
1 154 314
1 314 189
1 189 288
1 288 239
1 239 128
1 128 144
1 144 192
1 192 294
1 294 275
1 275 6
1 6 317
1 317 225
1 225 92
1 92 337
1 337 197
1 197 261
1 261 165
1 165 50
1 50 68
1 68 123
1 123 223
1 223 295
1 295 22
1 22 179
1 179 98
1 98 266
1 266 307
1 307 339
1 339 61
1 61 228
1 228 164
1 164 267
1 267 109
1 109 297
1 297 308
1 308 78
1 78 57
1 57 237
1 237 245
1 245 301
1 301 39
1 39 27
1 27 298
1 298 213
1 213 100
1 100 230
1 230 161
1 161 305
1 305 172
1 172 73
1 73 150
1 150 35
1 35 121
1 121 323
1 323 117
1 117 202
1 202 12
1 12 65
1 65 303
1 303 249
1 249 321
1 321 216
1 216 127
1 127 18
1 18 99
1 99 140
1 140 66
1 66 158
1 158 330
1 330 184
1 184 190
1 190 241
1 241 129
1 129 145
1 145 95
1 95 248
1 248 234
1 234 41
1 41 306
1 306 159
1 159 20
1 20 259
1 259 174
1 174 186
1 186 320
1 320 227
1 227 331
1 331 67
1 67 152
1 152 231
1 231 106
1 106 102
1 102 205
1 205 290
1 290 62
1 62 287
1 287 113
1 113 280
1 280 125
1 125 52
1 52 185
1 185 87
1 87 83
1 83 1
1 1 34
1 34 28
1 28 33
1 33 56
1 56 176
1 176 162
1 162 23
1 23 93
1 93 11
1 11 232
1 232 8
1 8 21
1 21 299
1 299 198
1 198 136
1 136 221
1 221 143
1 143 31
1 31 64
1 64 86
1 86 274
1 274 96
1 96 75
1 75 281
1 281 54
1 54 130
1 130 208
1 208 137
1 137 250
1 250 55
1 55 300
1 300 82
1 82 224
1 224 60
1 60 257
1 257 247
1 247 48
1 48 42
1 42 304
1 304 277
1 277 104
1 104 70
1 70 4
1 4 72
1 72 111
1 111 24
1 24 29
1 29 49
1 49 160
1 160 246
1 246 211
1 211 167
1 167 30
1 30 270
1 270 338
1 338 180
1 180 243
1 243 80
1 80 191
1 191 114
1 114 206
1 206 124
1 124 319
1 319 74
1 74 196
1 196 2
1 2 187
1 187 107
1 107 132
1 132 90
1 90 193
1 193 292
1 292 263
1 263 110
2 1 2
2 1 3
2 1 4
2 1 5
2 1 6
1 1 7
1 1 8
1 1 9
2 1 10
1 1 11
1 1 12
2 1 13
2 1 14
1 1 15
1 1 16
1 1 17
1 1 18
1 1 19
1 1 20
2 1 21
1 1 22
1 1 23
1 1 24
1 1 25
2 1 26
2 1 27
1 1 28
2 1 29
2 1 30
2 1 31
1 1 32
1 1 33
2 1 35
2 1 36
2 1 37
1 1 38
2 1 39
1 1 40
1 1 41
2 1 42
1 1 43
1 1 44
1 1 45
2 1 46
1 1 47
1 1 48
2 1 49
2 1 50
2 1 51
1 1 52
1 1 53
2 1 54
1 1 55
1 1 56
2 1 57
2 1 58
2 1 59
1 1 60
1 1 61
1 1 62
2 1 63
1 1 64
1 1 65
1 1 66
2 1 67
1 1 68
1 1 69
2 1 70
1 1 71
1 1 72
1 1 73
1 1 74
2 1 75
1 1 76
1 1 77
2 1 78
1 1 79
2 1 80
1 1 81
2 1 82
2 1 84
1 1 85
1 1 86
1 1 87
1 1 88
1 1 89
2 1 90
2 1 91
1 1 92
1 1 93
2 1 94
2 1 95
1 1 96
1 1 97
1 1 98
1 1 99
1 1 100
1 1 101
2 1 102
1 1 103
2 1 104
2 1 105
1 1 106
1 1 107
2 1 108
1 1 109
2 1 110
2 1 111
1 1 112
1 1 113
2 1 114
2 1 115
1 1 116
2 1 117
2 1 118
2 1 119
2 1 120
2 1 121
1 1 122
2 1 123
2 1 124
1 1 125
2 1 126
2 1 127
1 1 128
2 1 129
2 1 130
1 1 131
2 1 132
1 1 133
1 1 134
1 1 135
2 1 136
1 1 137
1 1 138
1 1 139
2 1 140
1 1 141
1 1 142
2 1 143
1 1 144
2 1 145
1 1 146
1 1 147
1 1 148
1 1 149
2 1 150
1 1 151
2 1 152
1 1 153
2 1 154
1 1 155
1 1 156
1 1 157
2 1 158
1 1 159
2 1 160
2 1 161
1 1 162
2 1 163
2 1 164
1 1 165
2 1 166
2 1 167
1 1 168
1 1 169
2 1 170
2 1 171
1 1 172
2 1 173
1 1 174
1 1 175
1 1 176
2 1 177
1 1 178
2 1 179
2 1 180
1 1 181
2 1 182
1 1 183
1 1 184
1 1 185
1 1 186
1 1 187
2 1 188
2 1 189
1 1 190
1 1 191
1 1 192
1 1 193
2 1 194
1 1 195
1 1 196
2 1 197
2 1 198
1 1 199
2 1 200
1 1 201
1 1 202
2 1 203
1 1 204
1 1 205
2 1 206
1 1 207
2 1 208
2 1 209
2 1 210
1 1 211
2 1 212
1 1 213
1 1 214
2 1 215
2 1 216
1 1 217
2 1 218
1 1 219
1 1 220
2 1 221
1 1 222
1 1 223
2 1 224
1 1 225
1 1 226
2 1 227
2 1 228
2 1 229
1 1 230
1 1 231
1 1 232
1 1 233
2 1 234
1 1 235
1 1 236
1 1 237
1 1 238
1 1 239
2 1 240
1 1 241
1 1 242
2 1 243
1 1 244
2 1 245
1 1 246
2 1 247
2 1 248
1 1 249
2 1 250
2 1 251
2 1 252
1 1 253
1 1 254
2 1 255
1 1 256
1 1 257
1 1 258
2 1 259
1 1 260
1 1 261
2 1 262
1 1 263
1 1 264
1 1 265
1 1 266
2 1 267
1 1 268
1 1 269
2 1 270
2 1 271
1 1 272
2 1 273
1 1 274
2 1 275
1 1 276
2 1 277
1 1 278
1 1 279
2 1 280
1 1 281
2 1 282
1 1 283
1 1 284
2 1 285
2 1 286
1 1 287
1 1 288
1 1 289
2 1 290
1 1 291
1 1 292
1 1 293
1 1 294
2 1 295
1 1 296
1 1 297
1 1 298
1 1 299
1 1 300
2 1 301
2 1 302
2 1 303
1 1 304
1 1 305
1 1 306
2 1 307
2 1 308
1 1 309
2 1 310
1 1 311
1 1 312
1 1 313
1 1 314
1 1 315
1 1 316
1 1 317
1 1 318
1 1 319
1 1 320
2 1 321
1 1 322
1 1 323
2 1 324
1 1 325
2 1 326
2 1 327
1 1 328
2 1 329
2 1 330
1 1 331
1 1 332
2 1 333
2 1 334
2 1 335
2 1 336
2 1 337
1 1 338
1 1 339
1 1 340
2 2 3
1 2 4
1 2 5
2 2 6
1 2 7
2 2 8
2 2 9
1 2 10
2 2 11
2 2 12
1 2 13
2 2 14
2 2 15
2 2 16
1 2 17
2 2 18
1 2 19
1 2 20
2 2 21
1 2 22
2 2 23
1 2 24
1 2 25
1 2 26
2 2 27
2 2 28
2 2 29
2 2 30
2 2 31
2 2 32
2 2 33
1 2 34
2 2 35
2 2 36
1 2 37
1 2 38
1 2 39
2 2 40
1 2 41
1 2 42
2 2 43
2 2 44
2 2 45
1 2 46
1 2 47
2 2 48
1 2 49
1 2 50
2 2 51
2 2 52
1 2 53
2 2 54
2 2 55
2 2 56
2 2 57
2 2 58
1 2 59
2 2 60
1 2 61
1 2 62
1 2 63
2 2 64
1 2 65
1 2 66
1 2 67
1 2 68
1 2 69
2 2 70
1 2 71
1 2 72
2 2 73
2 2 74
2 2 75
1 2 76
2 2 77
2 2 78
2 2 79
2 2 80
1 2 81
2 2 82
2 2 83
1 2 84
1 2 85
1 2 86
2 2 87
2 2 88
2 2 89
1 2 90
1 2 91
2 2 92
1 2 93
2 2 94
1 2 95
1 2 96
2 2 97
2 2 98
2 2 99
2 2 100
1 2 101
2 2 102
2 2 103
2 2 104
1 2 105
2 2 106
2 2 107
2 2 108
1 2 109
1 2 110
2 2 111
1 2 112
2 2 113
1 2 114
2 2 115
2 2 116
1 2 117
1 2 118
2 2 119
1 2 120
1 2 121
2 2 122
2 2 123
1 2 124
1 2 125
1 2 126
2 2 127
2 2 128
2 2 129
1 2 130
1 2 131
2 2 132
2 2 133
1 2 134
1 2 135
2 2 136
2 2 137
2 2 138
1 2 139
2 2 140
2 2 141
2 2 142
1 2 143
2 2 144
2 2 145
2 2 146
1 2 147
1 2 148
2 2 149
2 2 150
1 2 151
1 2 152
2 2 153
2 2 154
1 2 155
2 2 156
2 2 157
2 2 158
2 2 159
1 2 160
2 2 161
2 2 162
2 2 163
1 2 164
2 2 165
2 2 166
2 2 167
1 2 168
1 2 169
1 2 170
1 2 171
1 2 172
2 2 173
1 2 174
2 2 175
2 2 176
2 2 177
2 2 178
2 2 179
1 2 180
2 2 181
2 2 182
1 2 183
1 2 184
1 2 185
2 2 186
2 2 188
1 2 189
1 2 190
1 2 191
1 2 192
1 2 193
1 2 194
1 2 195
1 2 197
2 2 198
2 2 199
1 2 200
1 2 201
1 2 202
1 2 203
1 2 204
1 2 205
2 2 206
1 2 207
2 2 208
1 2 209
2 2 210
1 2 211
2 2 212
2 2 213
2 2 214
1 2 215
1 2 216
2 2 217
2 2 218
2 2 219
2 2 220
2 2 221
2 2 222
2 2 223
2 2 224
2 2 225
2 2 226
2 2 227
1 2 228
2 2 229
2 2 230
1 2 231
2 2 232
2 2 233
1 2 234
2 2 235
2 2 236
2 2 237
2 2 238
1 2 239
1 2 240
1 2 241
1 2 242
2 2 243
2 2 244
1 2 245
1 2 246
2 2 247
2 2 248
2 2 249
1 2 250
1 2 251
1 2 252
1 2 253
1 2 254
2 2 255
2 2 256
2 2 257
2 2 258
2 2 259
1 2 260
1 2 261
2 2 262
2 2 263
2 2 264
2 2 265
1 2 266
1 2 267
2 2 268
2 2 269
1 2 270
2 2 271
2 2 272
1 2 273
1 2 274
2 2 275
1 2 276
1 2 277
1 2 278
1 2 279
2 2 280
2 2 281
1 2 282
2 2 283
2 2 284
1 2 285
2 2 286
1 2 287
1 2 288
1 2 289
1 2 290
1 2 291
1 2 292
2 2 293
1 2 294
2 2 295
2 2 296
1 2 297
2 2 298
1 2 299
1 2 300
2 2 301
2 2 302
2 2 303
2 2 304
2 2 305
1 2 306
1 2 307
1 2 308
2 2 309
1 2 310
2 2 311
1 2 312
1 2 313
2 2 314
2 2 315
2 2 316
1 2 317
2 2 318
